date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2019-11-27 09:15:06,PulpNews,,0,0,0,"MLB's #Aubrey #Huff Takes Kids to #Gun Range 'In #Case #Bernie #Sanders Beats #Trump' - Nov 27 @4:13 AM ET https://oddcrimes.com/static/2019/11/27/MLBs-Aubrey-Huff-Takes-Kids-to-Gun-Range-In-Case-Bernie-Sanders-Beats-Trump.php",,,#Aubrey #Huff #Gun #Case #Bernie #Sanders #Trump,1199617634490294275,https://twitter.com/PulpNews/status/1199617634490294275
2019-11-27 08:20:16,phil_monteret,RalfGrahn,0,0,0,"Bonne nouvelle: les #Democrates modérés ont semble t'il le vent en poupe. #Buttigieg a l'avantage de la jeunesse et #Bidden celui de l'expérience: face à un #Trump en pleine forme, cela peut avoir de l'importance. Comment choisir encore #Sanders ou #Pocahontas ?",,,#Democrates #Buttigieg #Bidden #Trump #Sanders #Pocahontas,1199603836446486529,https://twitter.com/phil_monteret/status/1199603836446486529
2019-11-27 08:08:41,CorentinSellin,SteveKornacki,3,6,29,"Leon Zitrone's voice: ""Tandis que #Warren casaque jaune semble s'effondrer, #Buttigieg talonne maintenant #Biden...et #Sanders reviendra-t-il du diable vauvert?..."" Rappel historique: #sondage du New Hampshire en décembre 2003. Résultats réels fin janvier: Kerry 38 Dean 26 RT+",,,#Warren #Buttigieg #Biden #Sanders #sondage,1199600918502793216,https://twitter.com/CorentinSellin/status/1199600918502793216
2019-11-27 07:59:26,blenhoff1,FallonTonight,0,0,1,"Anticlimactic. You know how this is going down. #NotMeUs #NoMiddleGround #Bernie2020 #BernieSanders #Sanders #TheTimeIsNow #InThisHouse",,,#NotMeUs #NoMiddleGround #Bernie2020 #BernieSanders #Sanders #TheTimeIsNow #InThisHouse,1199598590957473792,https://twitter.com/blenhoff1/status/1199598590957473792
2019-11-27 07:58:53,blenhoff1,ChuckRocha,0,0,0,"Anticlimactic. You know how this is going down. #NotMeUs #NoMiddleGround #Bernie2020 #BernieSanders #Sanders #TheTimeIsNow #InThisHouse",,,#NotMeUs #NoMiddleGround #Bernie2020 #BernieSanders #Sanders #TheTimeIsNow #InThisHouse,1199598453694685184,https://twitter.com/blenhoff1/status/1199598453694685184
2019-11-27 07:56:29,blenhoff1,BernieSanders,0,0,1,"GREAT ad. Anyone who thinks this won't resonate doesn't understand the American electorate. #NotMeUs #NoMiddleGround #Bernie2020 #BernieSanders #Sanders #TheTimeIsNow #InThisHouse",,,#NotMeUs #NoMiddleGround #Bernie2020 #BernieSanders #Sanders #TheTimeIsNow #InThisHouse,1199597847798116353,https://twitter.com/blenhoff1/status/1199597847798116353
2019-11-27 07:51:49,blenhoff1,,0,0,0,"Proof: only Super woman could wear this badass power coat like a boss. #NotMeUs #NoMiddleGround #Bernie2020 #BernieSanders #Sanders #TheTimeIsNow #InThisHouse https://twitter.com/KillerMike/status/1199355810381488129",,,#NotMeUs #NoMiddleGround #Bernie2020 #BernieSanders #Sanders #TheTimeIsNow #InThisHouse,1199596673468518402,https://twitter.com/blenhoff1/status/1199596673468518402
2019-11-27 07:44:43,LPinjos,,0,1,0,"L'âge des candidats aux US, on n'en parle pas trop. Pourtant #Biden , #bloomberg , #sanders, sont tous au delà de 75 ans. #Warren 70. #trump 73. Peur de froisser les vieux?",,,#Biden #bloomberg #sanders #Warren #trump,1199594887454310400,https://twitter.com/LPinjos/status/1199594887454310400
2019-11-27 07:28:02,trlr916,trlr916,0,0,1,"Don’t forget #ivanka/brum #sanders/Davis #kushner/rollings #junior/isaack just to #start ",,,#ivanka #sanders #kushner #junior #start,1199590689022963713,https://twitter.com/trlr916/status/1199590689022963713
2019-11-27 07:24:42,marco_vrg,,0,2,0,"Net support for #impeachment grew steadily during U.S. congressional #hearings , poll shows https://reut.rs/2DkzCew #Trump #USA #elections #Ukraine #dollar #economy #growth #Democrats #Republicans #Warren #Biden #Sanders #AOC #Washington #NewYork #WallStreet #Nasdaq #tradewar",,,#impeachment #hearings #Trump #USA #elections #Ukraine #dollar #economy #growth #Democrats #Republicans #Warren #Biden #Sanders #AOC #Washington #NewYork #WallStreet #Nasdaq #tradewar,1199589850263048194,https://twitter.com/marco_vrg/status/1199589850263048194
2019-11-27 06:01:03,BentleytheDog,LightningSue,1,0,0,"Bottom line: you're willing-hoping-that the #Democratic Party can be fixed. I maintain it can't and won't be even if by some miracle #Sanders wins the nomination. My aim is the destruction of both @TheDemocrats and @GOP, so we can have something resembling a real democracy.",,@TheDemocrats @GOP,#Democratic #Sanders,1199568801458786305,https://twitter.com/BentleytheDog/status/1199568801458786305
2019-11-27 05:57:27,BentleytheDog,LightningSue,1,0,0,"Third parties and independents aren't viable because both the #Republicans and @TheDemocrats (which #Sanders sheepdogs for) work overtime to suppress them. By running on behalf of one of those parties, he directly supports those efforts. ",,@TheDemocrats,#Republicans #Sanders,1199567895652634624,https://twitter.com/BentleytheDog/status/1199567895652634624
2019-11-27 05:43:18,schestowitz,,0,0,0,"● NEWS ● Bernie #Sanders Goes to Bat for Baseball Players as #MLB Proposes Terminating Minor League Teams",,,#Sanders #MLB,1199564333405134848,https://twitter.com/schestowitz/status/1199564333405134848
2019-11-27 05:19:00,trashyvinny,,0,0,0,"#Bernie2020 #PoliticalRevolution #Progressive #ProgressiveMovement #StillSanders #OurRevolution #Senator #Bernie #Sanders #BernieSanders #SenatorSanders #SenatorBernieSanders #BernieSquad #NotMeUs #PeopleForBernie… https://www.instagram.com/p/B5W1x7SpDh2/?igshid=1lq1onqdkzh1a",,,#Bernie2020 #PoliticalRevolution #Progressive #ProgressiveMovement #StillSanders #OurRevolution #Senator #Bernie #Sanders #BernieSanders #SenatorSanders #SenatorBernieSanders #BernieSquad #NotMeUs #PeopleForBernie,1199558216520212481,https://twitter.com/trashyvinny/status/1199558216520212481
2019-11-27 05:16:51,heidisgarden,,0,0,0,"Check out Crate and barrel Penelope Dullaghan Cup & Saucer Abstract Flowers #CrateandBarrel https://ebay.us/476GsS via @eBay #Trump #Sanders #Warren #Biden #Bloomburg #2020 #Election #Iran #Iraq #Melania #boos #Respect #VintagePottery #Crock #Bunny #Rabbit",,@eBay,#CrateandBarrel #Trump #Sanders #Warren #Biden #Bloomburg #Election #Iran #Iraq #Melania #boos #Respect #VintagePottery #Crock #Bunny #Rabbit,1199557674851086337,https://twitter.com/heidisgarden/status/1199557674851086337
2019-11-27 05:09:01,heidisgarden,,0,0,0,"Check out Vintage Brown Mini Crock With Blue Bunny Lid Made In Portugal Rare Find Rabbit https://ebay.us/3r9o4e via @eBay #Trump #Biden #Sanders #Warren #Bloomburg #2020 #Election #Fox #Cnn #MSNBC #Iran #Iraq #Isreal #Turkey #Portugal #Bunny #Rabbit",,@eBay,#Trump #Biden #Sanders #Warren #Bloomburg #Election #Fox #Cnn #MSNBC #Iran #Iraq #Isreal #Turkey #Portugal #Bunny #Rabbit,1199555705247809536,https://twitter.com/heidisgarden/status/1199555705247809536
2019-11-27 04:58:27,SafetyPinJane,BlackOmen2021,2,1,3,"And #Buttigieg is backed by #Facebook and #Sanders is backed by #Russia. Sounds like the only ones we can trust are the women.",,,#Buttigieg #Facebook #Sanders #Russia,1199553046373531648,https://twitter.com/SafetyPinJane/status/1199553046373531648
2019-11-27 03:59:53,GodChoseDJT,,1,1,2,"I think it's safe to say that #Warren and #Sanders are toast. -14 since October?!? ",,,#Warren #Sanders,1199538306779877376,https://twitter.com/GodChoseDJT/status/1199538306779877376
2019-11-27 03:58:08,nespinosaa,,0,0,0,"#surprisesurprise! #Obama privately said he would speak up to stop #Sanders: report ",,,#surprisesurprise #Obama #Sanders,1199537868164730880,https://twitter.com/nespinosaa/status/1199537868164730880
